"probe_id","scenario_id","target_rules","fixture_requirements","formula_input","target_cell","expected_outcome_class","expected_result_hint","notes"
"P2-FML-001","FMLP2-001","FML-R-010","baseline grid values in A1,B1","=SUM(A1,,B1)","Sheet1!D1","probe","","Double-comma middle argument gap."
"P2-FML-001","FMLP2-002","FML-R-010","baseline grid values in A1,B1","=SUM(,A1,B1)","Sheet1!D1","probe","","Double-comma leading argument gap."
"P2-FML-001","FMLP2-003","FML-R-010","baseline grid values in A1,B1","=SUM(A1,B1,)","Sheet1!D1","probe","","Trailing argument gap."
"P2-FML-001","FMLP2-004","FML-R-010","baseline grid values in A1,B1","=IF(,A1,B1)","Sheet1!D1","probe","","Missing logical_test argument behavior."
"P2-FML-001","FMLP2-005","FML-R-010","baseline grid values in A1","=LET(x,,x+1)","Sheet1!D1","probe","","LET missing value expression for bound name."
"P2-FML-002","FMLP2-006","FML-R-011","A1 plain numeric","=A1.Price","Sheet1!D1","probe","","Dot-field on non-linked numeric cell."
"P2-FML-002","FMLP2-007","FML-R-011","A1 plain text","=A1.Price","Sheet1!D1","probe","","Dot-field on non-linked text cell."
"P2-FML-002","FMLP2-008","FML-R-011","A1 linked data type with Price field","=A1.Price","Sheet1!D1","probe","","Dot-field on linked data type cell."
"P2-FML-002","FMLP2-009","FML-R-011","A1 linked data type","=FIELDVALUE(A1,""Price"")","Sheet1!D1","probe","","Function equivalent for field access."
"P2-FML-003","FMLP2-010","FML-R-001","A1,B1 populated","=A1 B1","Sheet1!D1","accepted","#NULL! or value depending intersection","Whitespace intersection baseline."
"P2-FML-003","FMLP2-011","FML-R-001","A1,B1 populated","=A1    B1","Sheet1!D1","probe","","Multiple-space intersection normalization/disambiguation."
"P2-FML-003","FMLP2-012","FML-R-001","A1:C1 and A1:A3 populated","=SUM(A1:C1  A1:A3)","Sheet1!D1","accepted","","Intersection in SUM with extra spacing."
"P2-FML-004","FMLP2-013","FML-R-006","A1:A3 populated","=LET(x,1,x+2)","Sheet1!D1","accepted","3","Helper baseline LET."
"P2-FML-004","FMLP2-014","FML-R-006","A1:A3 populated","=LAMBDA(x,x+1)(2)","Sheet1!D1","accepted","3","Helper baseline inline LAMBDA invoke."
"P2-FML-004","FMLP2-015","FML-R-006","A1:A3 populated","=MAP(A1:A3,LAMBDA(x,x+1))","Sheet1!D1","probe","","Helper MAP availability and grammar."
"P2-FML-004","FMLP2-016","FML-R-006","A1:C3 populated","=BYROW(A1:C3,LAMBDA(r,SUM(r)))","Sheet1!D1","probe","","Helper BYROW availability and grammar."
"P2-FML-004","FMLP2-017","FML-R-006","A1:A3 populated","=SCAN(0,A1:A3,LAMBDA(a,b,a+b))","Sheet1!D1","probe","","Helper SCAN availability and grammar."
"P2-FML-004","FMLP2-018","FML-R-006","A1:A3 populated","=LAMBDA(x,x+1)(1,2","Sheet1!D1","rejected","","Malformed helper expression should reject."
"P2-FML-004","FMLP2-036","FML-R-006","A1:C3 populated","=BYCOL(A1:C3,LAMBDA(c,SUM(c)))","Sheet1!D1","probe","","Helper BYCOL availability and grammar."
"P2-FML-004","FMLP2-037","FML-R-006","A1:A3 populated","=REDUCE(0,A1:A3,LAMBDA(a,b,a+b))","Sheet1!D1","probe","","Helper REDUCE availability and grammar."
"P2-FML-005","FMLP2-019","FML-R-008","Workbook name MyName and sheet-local MyName configured","=MyName","Sheet1!D1","probe","","Name shadowing precedence."
"P2-FML-005","FMLP2-020","FML-R-008","Workbook name MyName configured","=Sheet1!MyName","Sheet1!D1","probe","","Explicit sheet-qualified name resolution."
"P2-FML-006","FMLP2-021","FML-R-006","Book2.xlsx present with Sheet1!A1","='[Book2.xlsx]Sheet1'!A1","Sheet1!D1","probe","","External workbook reference grammar baseline."
"P2-FML-006","FMLP2-022","FML-R-006","Book2.xlsx missing","='[MissingBook.xlsx]Sheet1'!A1","Sheet1!D1","probe","","Missing external workbook behavior."
"P2-FML-007","FMLP2-023","FML-R-009","Table TblParse with Amount column","=SUM(TblParse[Amount])","Sheet1!D1","accepted","","Structured reference baseline."
"P2-FML-007","FMLP2-024","FML-R-009","Inside table row context","=[@Amount]*2","Sheet1!B2","accepted","","This-row qualifier baseline."
"P2-FML-007","FMLP2-025","FML-R-009","Table TblParse with Amount column","=SUM(TblParse[[#All],[Amount]])","Sheet1!D1","probe","","Structured qualifier combination."
"P2-FML-007","FMLP2-026","FML-R-009","Table TblParse with Amount column","=SUM(TblParse[[#All],[Amount])","Sheet1!D1","rejected","","Malformed bracket sequence."
"P2-FML-008","FMLP2-027","FML-R-003;FML-R-004;FML-R-005","A1 spill anchor for SEQUENCE(3)","=@A1#","Sheet1!D1","probe","","Combined @ and # in spill context."
"P2-FML-008","FMLP2-028","FML-R-003;FML-R-005","A1 spill anchor for SEQUENCE(3)","=@SEQUENCE(3)","Sheet1!D1","probe","","@ with dynamic array producer."
"P2-FML-008","FMLP2-029","FML-R-004;FML-R-005","A1 non-spill scalar","=A1#","Sheet1!D1","probe","","# on non-spill anchor behavior."
"P2-FML-009","FMLP2-030","FML-R-007","Table TblParse with Amount column","=sum(tblparse[amount])","Sheet1!D1","accepted","","Normalization of function/table/column casing."
"P2-FML-009","FMLP2-031","FML-R-007","Workbook name MyName configured","=sum(MyName)","Sheet1!D1","probe","","Normalization with workbook names."
"P2-FML-010","FMLP2-032","FML-R-001;FML-R-002","no setup","=1+2*3","Sheet1!D1","accepted","7","Arithmetic precedence baseline."
"P2-FML-010","FMLP2-033","FML-R-001;FML-R-002","no setup","=(1+2)*3","Sheet1!D1","accepted","9","Parenthesis precedence baseline."
"P2-FML-010","FMLP2-034","FML-R-001;FML-R-002","no setup","=-2^2","Sheet1!D1","probe","","Unary vs exponent precedence discriminator."
"P2-FML-010","FMLP2-035","FML-R-001;FML-R-002","no setup","=1+2&3","Sheet1!D1","probe","","Addition vs concatenation precedence discriminator."
"P2-FML-011","FMLP2-038","FML-R-012","no setup","=SIN()","Sheet1!D1","rejected","","Required-argument omission; expected formula-entry rejection."
"P2-FML-011","FMLP2-039","FML-R-012","no setup","=SIN(""asd"")","Sheet1!D1","probe","","Accepted formula with runtime coercion/error outcome."
"P2-FML-011","FMLP2-040","FML-R-012","no setup","=SIN({1,""asd"",3})","Sheet1!D1","probe","","Array-lifted mixed-type input; determine scalar error vs elementwise error array."
"P2-FML-011","FMLP2-041","FML-R-012","no setup","=ASIN(2)","Sheet1!D1","probe","","Numeric-domain error mapping baseline (common expectation #NUM!)."
